رقم البند,رمز النظام المتناسق,المستوى,نوع البضاعة,الاسم التجاري,رسم الاستيراد,بدل خدمات الاستيراد,رسم الاستيراد الكلي,الوحدة القياسية
28.27,2827.32.00,-,كلوريد الألمنيوم,كلوريد ألمنيوم,10,3,13,وزن
28.27,2827.33.00,-,كلوريد الحديد,كلوريد حديديك,10,3,13,وزن
28.27,2827.34.00,-,كلوريد الكوبالت,كلوريد كوبالت,10,3,13,وزن
28.27,2827.35.00,-,كلوريد النيكل,كلوريد نيكل,10,3,13,وزن
28.27,2827.39.00,-,غيرها,كلوريدات أخرى,10,3,13,وزن
28.27,2827.41.00,-,أوكسي كلوريد النحاس,أوكسي كلوريد نحاس,10,3,13,وزن
28.27,2827.49.00,-,غيرها,أوكسي كلوريدات,10,3,13,وزن
28.27,2827.51.00,-,بروميدات الصوديوم والبوتاسيوم,بروميد صوديوم,10,3,13,وزن
28.27,2827.59.00,-,غيرها,بروميدات,10,3,13,وزن
28.27,2827.60.00,-,يوديدات وأوكسي يوديدات,يوديدات,10,3,13,وزن
28.28,2828.10.00,-,هيبوكلوريت الكالسيوم التجاري,هيبوكلوريت كالسيوم,10,3,13,وزن
28.28,2828.90.10,-,الكلور المنزيل المعد للبيع (هيبوكلوريت الصوديوم),مبيض,75,25,100,وزن
28.28,2828.90.90,-,غيرها,هيبوكلوريتات,10,3,13,وزن
28.29,2829.11.00,-,كلورات الصوديوم,كلورات صوديوم,10,3,13,وزن
28.29,2829.19.00,-,غيرها,كلورات أخرى,10,3,13,وزن
28.29,2829.90.00,-,غيرها,فوق كلورات وبرومات,10,3,13,وزن
28.3,2830.10.00,-,كبريتيدات الصوديوم,كبريتيد صوديوم,5,2,7,وزن
28.3,2830.90.00,-,غيرها,كبريتيدات,5,2,7,وزن
28.31,2831.10.00,-,ديثيونيتات وسولفوكسيلات الصوديوم,هيدروسلفيت صوديوم,5,2,7,وزن
28.31,2831.90.00,-,غيرها,ديثيونيتات,5,2,7,وزن
28.32,2832.10.00,-,كبريتيتات الصوديوم,كبريتيت صوديوم,5,2,7,وزن
28.32,2832.20.00,-,كبريتيتات أخرى,كبريتيت بوتاسيوم,5,2,7,وزن
28.32,2832.30.00,-,ثيوكبريتات,ثيوكبريتات صوديوم,5,2,7,وزن
28.33,2833.11.00,-,كبريتات الصوديوم,كبريتات صوديوم,5,2,7,وزن
28.33,2833.19.00,-,غيرها,كبريتات صوديوم أخرى,5,2,7,وزن
28.33,2833.21.00,-,كبريتات المغنيسيوم,ملح إنكليزي,5,2,7,وزن
28.33,2833.22.00,-,كبريتات الألمنيوم,شبة الألومنيوم,5,2,7,وزن
28.33,2833.23.00,-,كبريتات النيكل,كبريتات نيكل,5,2,7,وزن
28.33,2833.24.00,-,كبريتات النحاس,سلفات نحاس,5,2,7,وزن
28.33,2833.25.00,-,كبريتات الكوبالت,كبريتات كوبالت,5,2,7,وزن
28.33,2833.26.00,-,كبريتات الزنك,سلفات زنك,5,2,7,وزن
28.33,2833.27.00,-,كبريتات الباريوم,باريت طبيعي,5,2,7,وزن
28.33,2833.29.00,-,غيرها,كبريتات أخرى,5,2,7,وزن
28.33,2833.30.00,-,شب (شبة الألومنيوم والبوتاسيوم),شبة,5,2,7,وزن
28.33,2833.40.00,-,بيرو كبريتات,بيرو كبريتات,5,2,7,وزن
28.34,2834.10.00,-,نتريتات,نتريت صوديوم,5,2,7,وزن
28.34,2834.21.00,-,نترات البوتاسيوم,نترات بوتاسيوم,5,2,7,وزن
28.34,2834.29.00,-,غيرها,نترات أخرى,5,2,7,وزن
28.35,2835.10.00,-,فوسفاتات أحادية أو ثنائية الصوديوم,فوسفات صوديوم,5,2,7,وزن
28.35,2835.22.00,-,فوسفات أحادي أو ثنائي الكالسيوم,فوسفات كالسيوم,5,2,7,وزن
28.35,2835.24.00,-,فوسفاتات البوتاسيوم,فوسفات بوتاسيوم,5,2,7,وزن
28.35,2835.25.00,-,فوسفات ثلاثي الكالسيوم,فوسفات كالسيوم ثلاثي,5,2,7,وزن
28.35,2835.26.00,-,فوسفاتات الكالسيوم الأخرى,فوسفات كالسيوم,5,2,7,وزن
28.35,2835.29.00,-,غيرها,فوسفاتات أخرى,5,2,7,وزن
28.35,2835.31.00,-,ثلاثي فوسفات الصوديوم,ثلاثي فوسفات صوديوم,5,2,7,وزن
28.35,2835.39.00,-,غيرها,تري فوسفات,5,2,7,وزن
28.36,2836.20.00,-,كربونات ثنائي الصوديوم,صودا الغسيل,5,2,7,وزن
28.36,2836.30.00,-,كربونات الصوديوم الهيدروجينية (بيكربونات الصوديوم),بيكربونات صوديوم,5,2,7,وزن
28.36,2836.40.00,-,كربونات البوتاسيوم,بوتاس,5,2,7,وزن
28.36,2836.50.00,-,كربونات الكالسيوم,كربونات كالسيوم,19,6,25,وزن
28.36,2836.60.00,-,كربونات الباريوم,كربونات باريوم,5,2,7,وزن
28.36,2836.91.00,-,كربونات الليثيوم,كربونات ليثيوم,5,2,7,وزن
28.36,2836.92.00,-,كربونات السترونتيوم,كربونات سترونتيوم,5,2,7,وزن
28.36,2836.99.00,-,غيرها,كربونات أخرى,5,2,7,وزن
28.37,2837.11.00,-,سيانيدات الصوديوم,سيانيد صوديوم,5,2,7,وزن
28.37,2837.19.00,-,غيرها,سيانيدات,5,2,7,وزن
28.37,2837.20.00,-,سيانيدات معقدة,فيروسيانيد بوتاسيوم,5,2,7,وزن
28.39,2839.11.00,-,ميتا سيليكات الصوديوم,سيليكات صوديوم,5,2,7,وزن
28.39,2839.19.00,-,غيرها,سيليكات صوديوم,5,2,7,وزن
28.39,2839.90.00,-,غيرها,سيليكات أخرى,5,2,7,وزن
28.4,2840.11.00,-,بورات الصوديوم (بوراكس),بوراكس,5,2,7,وزن
28.4,2840.19.00,-,غيرها,بورات صوديوم,5,2,7,وزن
28.4,2840.20.00,-,بورات أخرى,بورات,5,2,7,وزن
28.4,2840.30.00,-,فوق بورات (بريورات),فوق بورات صوديوم,5,2,7,وزن
28.41,2841.30.00,-,كرومات الصوديوم وثنائي كرومات الصوديوم,ثنائي كرومات صوديوم,5,2,7,وزن
28.41,2841.50.00,-,كرومات وثنائي كرومات أخرى,ثنائي كرومات بوتاسيوم,5,2,7,وزن
28.41,2841.61.00,-,برمنغنات البوتاسيوم,برمنغنات بوتاسيوم,5,2,7,وزن
28.41,2841.69.00,-,غيرها,برمنغنات,5,2,7,وزن
28.41,2841.70.00,-,مولبدات,مولبدات,5,2,7,وزن
28.41,2841.80.00,-,تنغستات,تنغستات,5,2,7,وزن
28.41,2841.90.00,-,غيرها,أملاح الأوكسو المعدنية,5,2,7,وزن
28.42,2842.10.00,-,سيليكات مزدوجة,سيليكات ألومنيوم,5,2,7,وزن
28.42,2842.90.00,-,غيرها,أملاح أحماض غير عضوية,5,2,7,وزن
28.43,2843.10.00,-,فضة غروية,فضة غروية,75,25,100,وزن
28.43,2843.21.00,-,نترات الفضة,نترات فضة,75,25,100,وزن
28.43,2843.29.00,-,غيرها,مركبات فضة,75,25,100,وزن
28.43,2843.30.00,-,مركبات ذهب,مركبات ذهب,375,125,500,وزن
28.43,2843.90.00,-,غيرها,مركبات معادن ثمينة,75,25,100,وزن
28.44,2844.10.00,-,يورانيوم طبيعي ومركباته,يورانيوم,قائمة سلبية,قائمة سلبية,قائمة سلبية,
28.44,2844.20.00,-,خليط من نظائر اليورانيوم,يورانيوم مخصب,قائمة سلبية,قائمة سلبية,قائمة سلبية,
28.44,2844.30.00,-,بلوتونيوم ومركباته,بلوتونيوم,قائمة سلبية,قائمة سلبية,قائمة سلبية,
28.44,2844.41.00,-,تريتيوم ومركباته,تريتيوم,قائمة سلبية,قائمة سلبية,قائمة سلبية,
28.44,2844.42.00,-,مركبات مشعة أخرى,نظائر مشعة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
28.44,2844.43.00,-,عناصر كيمياوية مشعة ونظائر,عناصر مشعة,750,250,1000,وزن
28.44,2844.44.00,-,بقايا مشعة,نفايات مشعة,750,250,1000,وزن
28.44,2844.50.00,-,عناصر وقود مستهلكة (مشعة),قضبان وقود مستهلكة,750,250,1000,وزن
28.45,2845.10.00,-,ماء ثقيل (أوكسيد الديتيريوم),ماء ثقيل,750,250,1000,وزن
28.45,2845.20.00,-,بورون مخصب بالبورون-10,بورون-10,750,250,1000,وزن
28.45,2845.30.00,-,ليثيوم مخصب بالليثيوم-6,ليثيوم-6,750,250,1000,وزن
28.45,2845.40.00,-,هيليوم-3,هيليوم-3,10,3,13,وزن
28.45,2845.90.00,-,غيرها,نظائر أخرى,750,250,1000,وزن
28.46,2846.10.00,-,مركبات السيريوم,سيريوم,10,3,13,وزن
28.46,2846.90.00,-,غيرها,مركبات عناصر أتربة نادرة,10,3,13,وزن
28.47,2847.00.00,-,فوق أكسيد الهيدروجين (ماء أوكسيجيني),ماء أكسجين,10,3,13,وزن
28.48,2848.00.00,-,فوسفورات,فوسفورات,10,3,13,وزن
28.49,2849.10.00,-,كربيد الكالسيوم,كربيد كالسيوم,10,3,13,وزن
28.49,2849.20.00,-,كربيد السيليكون,كاربورندوم,10,3,13,وزن
28.49,2849.90.00,-,غيرها,كربيدات أخرى,10,3,13,وزن
28.5,2850.00.00,-,هيدريدات ونيتريدات وأزيدات وبوريدات,هيدريدات,10,3,13,وزن
28.52,2852.10.00,-,مركبات زئبق عضوية أو غير عضوية محددة الصفات,مركبات زئبق,10,3,13,وزن
28.52,2852.90.00,-,غيرها,مركبات زئبق,10,3,13,وزن
28.53,2853.10.00,-,كلور السيانوجين,كلور سيانوجين,10,3,13,وزن
28.53,2853.90.00,-,غيرها,فوسفيد النحاس,10,3,13,وزن
29.01,2901.10.00,-,هيدروكربونات لا دورية مشبعة,ميثان,20,7,27,وزن
29.01,2901.21.00,-,إيثيلين,إيثيلين,20,7,27,وزن
29.01,2901.22.00,-,بروبيلين (بروبين),بروبيلين,20,7,27,وزن
29.01,2901.23.00,-,بوتيلين (بوتين) وإيزوميراته,بوتيلين,20,7,27,وزن
29.01,2901.24.00,-,بوتا-1،3-دايين وإيزوبرين,بوتادايين,20,7,27,وزن
29.01,2901.29.00,-,غيرها,هيدروكربونات لا دورية غير مشبعة,20,7,27,وزن
29.02,2902.11.00,-,سيكلوهيكسان,سيكلوهيكسان,20,7,27,وزن
29.02,2902.19.00,-,غيرها,سيكلوبروبان,20,7,27,وزن
29.02,2902.20.00,-,بنزين,بنزين,20,7,27,وزن
29.02,2902.30.00,-,تولوين,تولوين,20,7,27,وزن
29.02,2902.41.00,-,أورثو-زيلين,أورثوزيلين,20,7,27,وزن
29.02,2902.42.00,-,ميتا-زيلين,ميتازيلين,20,7,27,وزن
29.02,2902.43.00,-,بارا-زيلين,بارازيلين,20,7,27,وزن
29.02,2902.44.00,-,إيزوميرات زيلين مخلوطة,زيلين مخلوط,20,7,27,وزن
29.02,2902.50.00,-,ستيرين,ستيرين,20,7,27,وزن
29.02,2902.60.00,-,إيثيل بنزين,إيثيل بنزين,20,7,27,وزن
29.02,2902.70.00,-,كومين,كومين,20,7,27,وزن
29.02,2902.90.00,-,غيرها,هيدروكربونات عطرية أخرى,20,7,27,وزن
29.03,2903.11.00,-,كلوروميثان وكلوروإيثان,كلوريد ميثيل,20,7,27,وزن
29.03,2903.12.00,-,ثنائي كلوروميثان (ميثيلين كلوريد),ميثيلين كلوريد,20,7,27,وزن
29.03,2903.13.00,-,كلوروفورم (ثلاثي كلوروميثان),كلوروفورم,20,7,27,وزن
29.03,2903.14.00,-,رباعي كلوريد الكربون,رباعي كلوريد كربون,20,7,27,وزن
29.03,2903.15.00,-,ثنائي كلوروإيثان (ثنائي كلوريد الإيثيلين),ثنائي كلوروإيثان,20,7,27,وزن
29.03,2903.19.00,-,غيرها,هيدروكربونات كلورية مشبعة,20,7,27,وزن
29.03,2903.21.00,-,كلوريد الفينيل (كلوروإيثيلين),كلوريد فينيل,20,7,27,وزن
29.03,2903.22.00,-,ثلاثي كلوروإيثيلين,ثلاثي كلوروإيثيلين,20,7,27,وزن
29.03,2903.23.00,-,رباعي كلوروإيثيلين (بيركلوروإيثيلين),رباعي كلوروإيثيلين,20,7,27,وزن
29.03,2903.29.00,-,غيرها,هيدروكربونات كلورية غير مشبعة,20,7,27,وزن
29.03,2903.31.00,-,ثنائي فلوروميثان (HFC-23),HFC-23,20,7,27,وزن
29.03,2903.41.00,-,ثلاثي فلوروميثان,ثلاثي فلوروميثان,20,7,27,وزن
29.03,2903.42.00,-,ثنائي فلوروميثان,ثنائي فلوروميثان,20,7,27,وزن
29.03,2903.44.00,-,خماسي فلوروإيثان وثلاثي فلوروإيثان,فلوروإيثانات,20,7,27,وزن
29.03,2903.45.00,-,رباعي فلوروإيثان,رباعي فلوروإيثان,20,7,27,وزن
29.03,2903.46.00,-,سباعي فلوروبروبان وسداسي فلوروبروبان,فلوروبروبانات,20,7,27,وزن
29.03,2903.47.00,-,خماسي فلوروبروبان,خماسي فلوروبروبان,20,7,27,وزن
29.03,2903.48.00,-,خماسي فلوروبوتان وعاشر فلوروبنتان,فلوروبوتان,20,7,27,وزن
29.03,2903.49.00,-,غيرها,فلوروكربونات أخرى,20,7,27,وزن
29.03,2903.51.00,-,رباعي فلوروبروبين وسداسي فلورو-2-بوتين,رباعي فلوروبروبين,20,7,27,وزن
29.03,2903.59.00,-,غيرها,هيدروكربونات فلورية غير مشبعة,20,7,27,وزن
29.03,2903.61.00,-,بروميد الميثيل,بروميد ميثيل,20,7,27,وزن
29.03,2903.62.00,-,ثنائي بروميد الإيثيلين,ثنائي بروموإيثان,20,7,27,وزن
29.03,2903.69.00,-,غيرها,هيدروكربونات مبرومة,20,7,27,وزن
29.03,2903.71.00,-,ثنائي كلورو فلوروميثان (HCFC-22),HCFC-22,20,7,27,وزن
29.03,2903.72.00,-,ثنائي كلورو ثلاثي فلوروإيثان (HCFC-123),HCFC-123,20,7,27,وزن
29.03,2903.73.00,-,ثنائي كلورو فلوروإيثان (HCFC-141),HCFC-141,20,7,27,وزن
29.03,2903.74.00,-,كلورو ثنائي فلوروإيثان (HCFC-142),HCFC-142,20,7,27,وزن
29.03,2903.75.00,-,ثنائي كلورو خماسي فلوروبروبان (HCFC-225),HCFC-225,20,7,27,وزن
29.03,2903.76.00,-,بروموكلورو ثنائي فلوروميثان (هالون-1211),هالون,20,7,27,وزن
29.03,2903.77.00,-,غيرها (فوق مهلجنة بالفلور والكلور),مركبات كلورو فلورية,20,7,27,وزن
29.03,2903.78.00,-,مشتقات أخرى فوق مهلجنة,مركبات فلورية,20,7,27,وزن
29.03,2903.79.00,-,غيرها,هالونات أخرى,20,7,27,وزن
29.03,2903.81.00,-,سداسي كلورو سيكلوهيكسان (ليندان),ليندان,20,7,27,وزن
29.03,2903.82.00,-,الدرين وكلوردان وسباعي الكلور,ألدرين,20,7,27,وزن
29.03,2903.83.00,-,ميركس,ميركس,20,7,27,وزن
29.03,2903.89.00,-,غيرها,كلوريدات حلقية,20,7,27,وزن
29.03,2903.91.00,-,كلوروبنزين وأورثو- وبارا- ثنائي كلوروبنزين,كلوروبنزين,20,7,27,وزن
29.03,2903.92.00,-,سداسي كلوروبنزين و DDT,DDT,20,7,27,وزن
29.03,2903.93.00,-,كلوروتولوين,كلوروتولوين,20,7,27,وزن
29.03,2903.94.00,-,كلوروميثيل بنزين,كلوريد بنزيل,20,7,27,وزن
29.03,2903.99.00,-,غيرها,هيدروكربونات عطرية مهلجنة,20,7,27,وزن
29.04,2904.10.00,-,مشتقات هيدروكربونات مسلفنة فقط,حمض سلفونيك,20,7,27,وزن
29.04,2904.20.00,-,مشتقات هيدروكربونات نترته أو نترزته,نتروتولوين,20,7,27,وزن
29.04,2904.31.00,-,فلوروسلفونات,كلوروسلفونات,20,7,27,وزن
29.04,2904.32.00,-,ثلاثي كلورونيتروميثان,ثلاثي كلورونيتروميثان,20,7,27,وزن
29.04,2904.39.00,-,غيرها,مشتقات هيدروكربونات,20,7,27,وزن
29.05,2905.11.00,-,ميثانول (كحول ميثيلي),ميثانول,20,7,27,وزن
29.05,2905.12.00,-,بروبان-1-ول وبروبان-2-ول,بروبانول,20,7,27,وزن
29.05,2905.13.00,-,بوتان-1-ول (كحول بوتيلي طبيعي),بوتانول,20,7,27,وزن
29.05,2905.14.00,-,بوتان-2-ول وإيزوبوتانول,بوتانول ثانوي,20,7,27,وزن
29.05,2905.16.00,-,أوكتانول,أوكتانول,20,7,27,وزن
29.05,2905.17.00,-,دوديكان-1-ول وكحول سيتيل وكحول سيتيل,كحول لوريل,20,7,27,وزن
29.05,2905.19.00,-,غيرها,كحولات أحادية مشبعة,20,7,27,وزن
29.05,2905.22.00,-,كحول أليل,أليل,20,7,27,وزن
29.05,2905.29.00,-,غيرها,كحولات أحادية غير مشبعة,20,7,27,وزن
29.05,2905.31.00,-,إيثيلين غليكول,إيثيلين غليكول,20,7,27,وزن
29.05,2905.32.00,-,بروبيلين غليكول,بروبيلين غليكول,20,7,27,وزن
29.05,2905.39.00,-,غيرها,دايولات أخرى,20,7,27,وزن
29.05,2905.41.00,-,2-إيثيل-2-(هيدروكسي ميثيل) بروبان-1،3-دايول,تريميثيلول بروبان,20,7,27,وزن
29.05,2905.42.00,-,بنتا إريثريتول,بنتا اريثريتول,20,7,27,وزن
29.05,2905.43.00,-,مانيتول,مانيتول,20,7,27,وزن
29.05,2905.44.00,-,سوربيتول,سوربيتول,20,7,27,وزن
29.05,2905.45.00,-,غليسيرين,غليسيرين,20,7,27,وزن
29.05,2905.49.00,-,غيرها,بوليولات أخرى,20,7,27,وزن
29.05,2905.51.00,-,إيثكلورفينول,إيثكلورفينول,20,7,27,وزن
29.05,2905.59.00,-,غيرها,مشتقات كحولية مهلجنة,20,7,27,وزن
29.06,2906.11.00,-,منتول,منتول,20,7,27,وزن
29.06,2906.12.00,-,سيكلوهيكسانول وميثيل سيكلوهيكسانول,سيكلوهيكسانول,20,7,27,وزن
29.06,2906.13.00,-,ستيرول وإينوسيتول,ستيرول,20,7,27,وزن
29.06,2906.19.00,-,غيرها,كحولات حلقية,20,7,27,وزن
29.06,2906.21.00,-,كحول البنزيل,بنزيل,20,7,27,وزن
29.06,2906.29.00,-,غيرها,كحولات عطرية,20,7,27,وزن
29.07,2907.11.00,-,فينول وأملاحه,فينول,20,7,27,وزن
29.07,2907.12.00,-,كريزولات وأملاحها,كريزول,20,7,27,وزن
29.07,2907.13.00,-,أوكتيل فينول ونونيل فينول,نونيل فينول,20,7,27,وزن
29.07,2907.15.00,-,نفثولات وأملاحها,نفثول,20,7,27,وزن
29.07,2907.19.00,-,غيرها,فينولات أحادية,20,7,27,وزن
29.07,2907.21.00,-,ريزورسينول,ريزورسينول,20,7,27,وزن
29.07,2907.22.00,-,هيدروكينون (كينول),هيدروكينون,20,7,27,وزن
29.07,2907.23.00,-,4،4'-إيزوبروبيليدين ثنائي فينول (بيسفينول A),بيسفينول A,20,7,27,وزن
29.07,2907.29.00,-,غيرها,بوليفينولات,20,7,27,وزن
29.08,2908.11.00,-,بنتاكلوروفينول,بنتاكلوروفينول,20,7,27,وزن
29.08,2908.19.00,-,غيرها,مشتقات الفينول المهلجنة,20,7,27,وزن
29.08,2908.91.00,-,داينوسيب,داينوسيب,20,7,27,وزن
29.08,2908.92.00,-,4،6-ثنائي نيترو-أو-كريزول,دي إن أو سي,20,7,27,وزن
29.08,2908.99.00,-,غيرها,مشتقات النترو فينول,20,7,27,وزن
29.09,2909.11.00,-,ثنائي إيثيل إيثر,أيثر ثنائي إيثيل,20,7,27,وزن
29.09,2909.19.00,-,غيرها,أيثرات لا حلقية,20,7,27,وزن
29.09,2909.20.00,-,إيثرات سيكلية,أيثرات حلقية,56,19,75,وزن
29.09,2909.30.00,-,إيثرات عطرية,دي فينيل أيثر,56,19,75,وزن
29.09,2909.41.00,-,2،2'-أوكسي ثنائي الإيثانول (دي إيثيلين غليكول),دي إيثيلين غليكول,20,7,27,وزن
29.09,2909.43.00,-,إيثرات أحادي بوتيل الإيثيلين غليكول,بوتيل غليكول,20,7,27,وزن
29.09,2909.44.00,-,إيثرات أحادية ألكيل الإيثيلين غليكول,ألكيل غليكول,20,7,27,وزن
29.09,2909.49.00,-,غيرها,إيثرات-كحولات,20,7,27,وزن
29.09,2909.50.00,-,إيثرات-فينولات,غاياكول,56,19,75,وزن
29.09,2909.60.00,-,فوق أكاسيد الكحولات وفوق أكاسيد الإيثرات,فوق أكسيد,56,19,75,وزن
29.1,2910.10.00,-,أوكسيران (أوكسيد الإيثيلين),أوكسيد إيثيلين,20,7,27,وزن
29.1,2910.20.00,-,ميثيل أوكسيران (أوكسيد البروبيلين),أوكسيد بروبيلين,20,7,27,وزن
29.1,2910.30.00,-,1-كلورو-2،3-إيبوكسي بروبان (إيبكلوروهيدرين),إيبكلوروهيدرين,20,7,27,وزن
29.1,2910.40.00,-,ثنائي ألدرين,ديلدرين,20,7,27,وزن
29.1,2910.50.00,-,إندرين,إندرين,20,7,27,وزن
29.1,2910.90.00,-,غيرها,إيبوكسيدات,20,7,27,وزن
29.11,2911.00.00,-,أسيتال ونصف أسيتال,أسيتال,56,19,75,وزن
29.12,2912.11.00,-,ميثانال (فورمالدهيد),فورمالدهيد,20,7,27,وزن
29.12,2912.12.00,-,إيثانال (أسيتالدهيد),أسيتالدهيد,20,7,27,وزن
29.12,2912.19.00,-,غيرها,ألدهيدات لا حلقية,20,7,27,وزن
29.12,2912.21.00,-,بنز ألدهيد,بنزالدهيد,20,7,27,وزن
29.12,2912.29.00,-,غيرها,ألدهيدات عطرية,20,7,27,وزن
29.12,2912.41.00,-,فانيلين (4-هيدروكسي-3-ميثوكسي بنز ألدهيد),فانيلين,20,7,27,وزن
29.12,2912.42.00,-,إيثيل فانيلين (3-إيثوكسي-4-هيدروكسي بنز ألدهيد),إيثيل فانيلين,20,7,27,وزن
29.12,2912.49.00,-,غيرها,ألدهيدات-إيثرات,20,7,27,وزن
29.12,2912.50.00,-,بوليمرات دورية من الألدهيدات,برافورمالدهيد,20,7,27,وزن
29.12,2912.60.00,-,بارافورمالدهيد,بارافورمالدهيد,20,7,27,وزن
29.13,2913.00.00,-,مشتقات مهلجنة أو مسلفنة أو نترته أو نترزته من الألدهيدات,مشتقات ألدهيد,56,19,75,وزن
29.14,2914.11.00,-,أسيتون,أسيتون,20,7,27,وزن
29.14,2914.12.00,-,بوتانون (ميثيل إيثيل كيتون),ميثيل إيثيل كيتون,20,7,27,وزن
29.14,2914.13.00,-,4-ميثيل بنتان-2-أون (ميثيل أيزوبوتيل كيتون),ميثيل أيزوبوتيل كيتون,20,7,27,وزن
29.14,2914.19.00,-,غيرها,كيتونات لا حلقية,20,7,27,وزن
29.14,2914.22.00,-,سيكلوهكسانون وميثيل سيكلوهكسانون,سيكلوهكسانون,20,7,27,وزن
29.14,2914.23.00,-,أيونون وميثيل أيونون,أيونون,20,7,27,وزن
29.14,2914.29.00,-,غيرها,كيتونات حلقية,20,7,27,وزن
29.14,2914.31.00,-,فينيل أسيتون,فينيل أسيتون,20,7,27,وزن
29.14,2914.39.00,-,غيرها,كيتونات عطرية,20,7,27,وزن
29.14,2914.40.00,-,كيتونات-كحولات,هيدروكسي أسيتون,20,7,27,وزن
29.14,2914.50.00,-,كيتونات-فينولات,كيتونات فينولية,20,7,27,وزن
29.14,2914.61.00,-,أنثراكينون,أنثراكينون,20,7,27,وزن
29.14,2914.62.00,-,أنزيم مساعد Q10 (يوبيديكارينون),يوبيديكارينون,20,7,27,وزن
29.14,2914.69.00,-,غيرها,كينونات,20,7,27,وزن
29.14,2914.71.00,-,كلورديكون,كلورديكون,20,7,27,وزن
29.14,2914.79.00,-,غيرها,مشتقات مهلجنة للكيتونات,20,7,27,وزن
29.15,2915.11.00,-,حمض الفورميك,حمض فورميك,20,7,27,وزن
29.15,2915.12.00,-,أملاح حمض الفورميك,فورمات صوديوم,20,7,27,وزن
29.15,2915.13.00,-,أستريات حمض الفورميك,فورمات ميثيل,20,7,27,وزن
29.15,2915.21.00,-,حمض الخليك,حمض خليك,20,7,27,وزن
29.15,2915.24.00,-,أنهيدريد الخليك,أنهيدريد خليك,20,7,27,وزن
29.15,2915.29.00,-,غيرها,أملاح حمض الخليك,20,7,27,وزن
29.15,2915.31.00,-,أستات الإيثيل,أستات الإيثيل,20,7,27,وزن
29.15,2915.32.00,-,أستات الفينيل,أستات فينيل,20,7,27,وزن
29.15,2915.33.00,-,أستات البوتيل العادي,أستات بوتيل,20,7,27,وزن
29.15,2915.36.00,-,أستات الدينوسب,أستات الدينوسب,20,7,27,وزن
29.15,2915.39.00,-,غيرها,أستات أخرى,20,7,27,وزن
29.15,2915.40.00,-,أحماض أحادي أو ثنائي أو ثلاثي كلورو حمض الخليك,حمض كلوروخليك,20,7,27,وزن
29.15,2915.50.00,-,حمض البروبيونيك,حمض بروبيونيك,20,7,27,وزن
29.15,2915.60.00,-,أحماض البوتانويك والبنتانويك,حمض بوتيريك,20,7,27,وزن
29.15,2915.70.00,-,حمض البالمتيك وحمض الستياريك,حمض ستياريك,20,7,27,وزن
29.15,2915.90.00,-,غيرها,أحماض دهنية مشبعة,56,19,75,وزن
29.16,2916.11.00,-,حمض أكريليك,حمض أكريليك,20,7,27,وزن
29.16,2916.12.00,-,أستريات حمض الأكريليك,أستات الأكريليك,20,7,27,وزن
29.16,2916.13.00,-,حمض ميثاكريليك,حمض ميثاكريليك,20,7,27,وزن
29.16,2916.14.00,-,أستريات حمض الميثاكريليك,ميثا أكريلات,20,7,27,وزن
29.16,2916.15.00,-,حمض الأولييك واللينولييك واللينولينيك,حمض أولييك,20,7,27,وزن
29.16,2916.16.00,-,بيناباكريل,بيناباكريل,20,7,27,وزن
29.16,2916.19.00,-,غيرها,أحماض غير مشبعة,56,19,75,وزن
29.16,2916.20.00,-,أحماض كربوكسيلية حلقية,حمض سيكلوهكسان كربوكسيليك,20,7,27,وزن
29.16,2916.31.00,-,حمض بنزويك,حمض بنزويك,20,7,27,وزن
29.16,2916.32.00,-,فوق أكسيد البنزويل وكلوريد البنزويل,كلوريد بنزويل,56,19,75,وزن
29.16,2916.34.00,-,حمض فينيل خليك,حمض فينيل خليك,20,7,27,وزن
29.16,2916.39.00,-,غيرها,أحماض عطرية أحادية,56,19,75,وزن
29.17,2917.11.00,-,حمض الأوكساليك,حمض أوكساليك,20,7,27,وزن
29.17,2917.12.00,-,حمض الأديبيك,حمض أديبيك,20,7,27,وزن
29.17,2917.13.00,-,حمض الأزيلايك وحمض السيباسيك,حمض أزيلايك,20,7,27,وزن
29.17,2917.14.00,-,أنهيدريد الماليئيك,أنهيدريد ماليئيك,20,7,27,وزن
29.17,2917.19.00,-,غيرها,أحماض ثنائية القاعدة لا حلقية,56,19,75,وزن
29.17,2917.20.00,-,أحماض كربوكسيلية حلقية ثنائية القاعدة,أنهيدريد سكسينيك,20,7,27,وزن
29.17,2917.32.00,-,أورثو فثالات ثنائي الأوكتيل,دي أوكتيل فثالات,20,7,27,وزن
29.17,2917.33.00,-,أورثو فثالات ثنائي النونيل أو ثنائي الديسيل,دي نونيل فثالات,20,7,27,وزن
29.17,2917.34.00,-,أستريات أخرى لحمض الأورثوفثاليك,فثالات أخرى,20,7,27,وزن
29.17,2917.35.00,-,أنهيدريد الفثاليك,أنهيدريد فثاليك,20,7,27,وزن
29.17,2917.36.00,-,حمض تيريفثاليك وأملاحه,حمض تيريفثاليك,20,7,27,وزن
29.17,2917.37.00,-,تريفثالات ثنائي الميثيل,داي ميثيل تريفثالات,20,7,27,وزن
29.17,2917.39.00,-,غيرها,أحماض عطرية ثنائية,20,7,27,وزن
29.18,2918.11.00,-,حمض اللاكتيك,حمض لاكتيك,20,7,27,وزن
